1.01,5,{'TP': 214, 'FP': 1822, 'FN': 76},0.7379310344827587,0.10510805500982318,0.18400687876182284
1.01,10,{'TP': 164, 'FP': 1231, 'FN': 126},0.5655172413793104,0.11756272401433691,0.19465875370919883
1.01,15,{'TP': 148, 'FP': 977, 'FN': 142},0.5103448275862069,0.13155555555555556,0.2091872791519435
1.01,20,{'TP': 134, 'FP': 815, 'FN': 156},0.46206896551724136,0.14120126448893572,0.21630347054075869
1.03,5,{'TP': 205, 'FP': 1078, 'FN': 85},0.7068965517241379,0.1597817614964926,0.2606484424666243
1.03,10,{'TP': 141, 'FP': 662, 'FN': 149},0.4862068965517241,0.17559153175591533,0.25800548947849955
1.03,15,{'TP': 103, 'FP': 454, 'FN': 187},0.35517241379310344,0.18491921005385997,0.24321133412042503
1.03,20,{'TP': 82, 'FP': 358, 'FN': 208},0.2827586206896552,0.18636363636363637,0.22465753424657534
1.05,5,{'TP': 149, 'FP': 708, 'FN': 141},0.5137931034482759,0.17386231038506417,0.2598081952920663
1.05,10,{'TP': 93, 'FP': 392, 'FN': 197},0.32068965517241377,0.19175257731958764,0.24000000000000002
1.05,15,{'TP': 67, 'FP': 276, 'FN': 223},0.23103448275862068,0.19533527696793002,0.21169036334913113
1.05,20,{'TP': 51, 'FP': 203, 'FN': 239},0.17586206896551723,0.20078740157480315,0.18749999999999997
