1.05	5	{'TP': 166, 'FP': 236, 'FN': 124}	0.5724137931034483	0.4129353233830846	0.47976878612716767
1.05	7	{'TP': 157, 'FP': 145, 'FN': 133}	0.5413793103448276	0.5198675496688742	0.5304054054054054
1.05	10	{'TP': 139, 'FP': 95, 'FN': 151}	0.4793103448275862	0.594017094017094	0.5305343511450381
1.05	12	{'TP': 127, 'FP': 74, 'FN': 163}	0.4379310344827586	0.6318407960199005	0.5173116089613035
1.05	15	{'TP': 109, 'FP': 48, 'FN': 181}	0.3758620689655172	0.6942675159235668	0.487695749440716
1.07	5	{'TP': 151, 'FP': 131, 'FN': 139}	0.5206896551724138	0.5354609929078015	0.527972027972028
1.07	7	{'TP': 133, 'FP': 76, 'FN': 157}	0.4586206896551724	0.6363636363636364	0.5330661322645289
1.07	10	{'TP': 106, 'FP': 39, 'FN': 184}	0.36551724137931035	0.7310344827586207	0.4873563218390805
1.07	12	{'TP': 99, 'FP': 33, 'FN': 191}	0.3413793103448276	0.75	0.46919431279620866
1.07	15	{'TP': 85, 'FP': 23, 'FN': 205}	0.29310344827586204	0.7870370370370371	0.42713567839195976
